Province,Year,prop_homeowners,prop_working,prop_school_absentees,prop_toilet_access,gdp,population,land_area,target: energy_capacity
SUMATERA SELATAN,2014,80.43,90.7,2.4,72.11,306421.6,8052.0,50058.16,4458.37
BENGKULU,2014,80.64,91.71,2.77,74.89,45389.9,1875.0,91592.43,51.06
LAMPUNG,2014,88.3,91.32,3.17,81.83,230794.45,8117.0,16424.06,237.38
KEP. BANGKA BELITUNG,2014,84.31,89.88,3.41,79.83,56373.62,1373.0,19919.33,285.92
KEP. RIAU,2014,67.91,91.87,2.67,88.94,180879.98,1973.0,34623.8,969.62
DKI JAKARTA,2014,47.76,85.47,1.13,79.19,1762316.4,10178.0,664.01,4183.74
JAWA BARAT,2014,78.54,87.24,3.36,73.24,1385825.08,46710.0,35377.76,9297.06
JAWA TENGAH,2014,88.06,87.42,6.13,72.49,922471.18,33774.0,9662.92,7150.68
DI YOGYAKARTA,2014,74.97,79.88,5.55,74.28,92842.48,3679.0,32800.69,
JAWA TIMUR,2014,87.14,87.9,7.61,67.88,1537947.63,38848.0,3133.15,9396.5
BANTEN,2014,77.96,88.93,3.61,72.25,428740.07,11955.0,47799.75,8052.3
BALI,2014,69.8,92.11,7.83,71.76,156395.73,4153.0,5780.06,786.84
NUSA TENGGARA BARAT,2014,85.29,87.1,10.23,52.24,81620.73,4836.0,18572.32,624.93
NUSA TENGGARA TIMUR,2014,86.33,91.63,6.41,67.96,68500.43,5120.0,48718.1,331.21
KALIMANTAN BARAT,2014,87.53,90.74,7.53,69.22,132345.29,4790.0,147307.0,778.82
KALIMANTAN TENGAH,2014,73.51,93.55,2.26,65.18,89889.88,2495.0,153564.5,485.48
KALIMANTAN SELATAN,2014,74.39,89.34,2.71,70.78,127882.28,3990.0,38744.23,2790.84
KALIMANTAN TIMUR,2014,68.91,90.12,2.14,87.3,527515.26,4069.0,129066.64,1192.23
KALIMANTAN UTARA,2014,,,,,59184.0,,75467.7,238.2
SULAWESI UTARA,2014,74.6,85.96,0.61,69.52,80667.63,2412.0,13851.64,557.22
SULAWESI TENGAH,2014,84.66,92.32,2.9,57.71,90246.27,2877.0,11257.07,1718.47
SULAWESI SELATAN,2014,83.82,84.26,7.13,70.47,298033.8,8520.0,61841.29,2953.94
SULAWESI TENGGARA,2014,86.32,89.67,4.51,64.2,78622.15,2500.0,46717.48,293.38
GORONTALO,2014,79.24,90.2,1.8,39.92,25193.78,1133.0,16787.18,57.91
SULAWESI BARAT,2014,89.0,92.36,6.64,50.6,29458.25,1282.0,38067.7,63.22
MALUKU,2014,79.84,88.62,1.83,59.92,31656.48,1686.0,46914.03,297.06
MALUKU UTARA,2014,86.13,92.09,2.11,58.36,24042.08,1162.0,31982.5,88.36
PAPUA BARAT,2014,70.88,93.05,3.91,59.73,58180.96,872.0,319036.05,121.09
PAPUA,2014,81.7,95.88,29.47,46.16,133329.98,3149.0,99671.63,550.02
INDONESIA,2014,79.77,88.34,4.87,71.52,10699877.63,255462.0,1913578.68,63746.79
ACEH,2015,82.36,87.34,2.94,67.12,129092.66,5190.0,57956.0,239.55
SUMATERA UTARA,2015,71.09,89.35,2.29,81.08,571722.01,14262.0,72981.23,5239.04
SUMATERA BARAT,2015,74.13,87.11,2.16,64.69,179951.98,5322.0,42012.89,155.53
RIAU,2015,71.56,91.45,2.25,87.84,652761.63,6658.0,87023.66,373.22
JAMBI,2015,83.94,91.66,3.43,77.58,155065.66,3515.0,8201.72,52.77
SUMATERA SELATAN,2015,83.02,91.28,2.38,74.16,331765.7,8267.0,50058.16,4348.66
BENGKULU,2015,85.52,93.42,3.66,77.4,50334.02,1934.0,91592.43,66.61
LAMPUNG,2015,90.35,92.27,3.44,83.77,252883.1,8290.0,16424.06,237.38
KEP. BANGKA BELITUNG,2015,87.85,89.43,3.79,83.22,60987.32,1431.0,19919.33,285.92
KEP. RIAU,2015,67.67,90.86,2.83,89.68,199570.39,2083.0,34623.8,1005.94
DKI JAKARTA,2015,51.09,83.74,1.22,80.53,1989088.75,10374.0,664.01,4591.3
JAWA BARAT,2015,80.63,86.86,3.45,76.14,1524974.83,48038.0,35377.76,9601.56
JAWA TENGAH,2015,90.93,87.38,6.58,75.73,1010986.64,34258.0,9662.92,8023.82
DI YOGYAKARTA,2015,76.99,81.63,6.14,78.1,101440.52,3762.0,32800.69,
JAWA TIMUR,2015,90.46,87.54,8.26,70.98,1691477.06,39293.0,3133.15,9865.09
BANTEN,2015,80.94,87.9,4.16,75.0,479300.44,12448.0,47799.75,7044.74
BALI,2015,77.31,91.84,7.42,72.82,176412.67,4247.0,5780.06,1040.99
NUSA TENGGARA BARAT,2015,87.85,85.66,12.28,55.25,105664.74,4956.0,18572.32,818.21
NUSA TENGGARA TIMUR,2015,88.52,91.52,7.07,69.03,76120.79,5287.0,48718.1,333.42
KALIMANTAN BARAT,2015,90.07,90.66,7.74,73.46,146653.55,4933.0,147307.0,787.92
KALIMANTAN TENGAH,2015,77.99,92.75,2.53,70.24,100063.52,2605.0,153564.5,256.51
KALIMANTAN SELATAN,2015,79.22,89.26,3.33,73.95,137056.12,4120.0,38744.23,3050.81
KALIMANTAN TIMUR,2015,72.69,89.36,2.35,89.71,505105.06,4267.0,129066.64,785.85
KALIMANTAN UTARA,2015,74.77,89.69,4.04,85.57,61722.39,,75467.7,238.2
SULAWESI UTARA,2015,80.44,87.02,0.82,71.75,91145.68,2461.0,13851.64,295.5
SULAWESI TENGAH,2015,87.14,91.89,3.05,58.58,107573.47,2966.0,11257.07,1746.21
SULAWESI SELATAN,2015,86.85,83.99,7.74,73.96,340390.21,8690.0,61841.29,2895.6
SULAWESI TENGGARA,2015,86.47,88.0,5.22,68.78,87714.48,2602.0,46717.48,148.92
GORONTALO,2015,81.66,92.43,1.47,42.17,28493.42,1168.0,16787.18,57.41
SULAWESI BARAT,2015,91.47,92.86,7.26,52.02,32987.55,1331.0,38067.7,67.77
MALUKU,2015,81.51,88.72,1.86,60.72,34345.96,1745.0,46914.03,363.43
MALUKU UTARA,2015,87.84,92.31,1.86,59.2,26638.3,1209.0,31982.5,120.27
PAPUA BARAT,2015,74.57,92.33,5.2,67.11,62888.03,915.0,319036.05,271.48
PAPUA,2015,81.69,96.34,30.56,56.18,150307.28,3265.0,99671.63,432.89
INDONESIA,2015,82.63,88.1,5.25,74.34,11526332.8,261891.0,1913578.68,64842.53
