Province,Year,prop_homeowners,prop_working,prop_school_absentees,prop_toilet_access,gdp,population,land_area,num_rainy_days,target: energy_generation
BANTEN,2015,80.94,87.9,4.16,75.0,479300.44,12448.0,47799.75,215.0,49148.33
BALI,2015,77.31,91.84,7.42,72.82,176412.67,4247.0,5780.06,155.0,4066.01
NUSA TENGGARA BARAT,2015,87.85,85.66,12.28,55.25,105664.74,4956.0,18572.32,166.0,2062.01
NUSA TENGGARA TIMUR,2015,88.52,91.52,7.07,69.03,76120.79,5287.0,48718.1,186.0,685.71
KALIMANTAN BARAT,2015,90.07,90.66,7.74,73.46,146653.55,4933.0,147307.0,202.0,676.1
KALIMANTAN TENGAH,2015,77.99,92.75,2.53,70.24,100063.52,2605.0,153564.5,127.0,252.06
KALIMANTAN SELATAN,2015,79.22,89.26,3.33,73.95,137056.12,4120.0,38744.23,68.0,6516.25
KALIMANTAN TIMUR,2015,72.69,89.36,2.35,89.71,505105.06,4267.0,129066.64,155.0,2735.56
KALIMANTAN UTARA,2015,74.77,89.69,4.04,85.57,61722.39,,75467.7,141.0,306.1
SULAWESI UTARA,2015,80.44,87.02,0.82,71.75,91145.68,2461.0,13851.64,76.0,918.89
SULAWESI TENGAH,2015,87.14,91.89,3.05,58.58,107573.47,2966.0,11257.07,93.0,1670.77
SULAWESI SELATAN,2015,86.85,83.99,7.74,73.96,340390.21,8690.0,61841.29,167.0,7409.22
SULAWESI TENGGARA,2015,86.47,88.0,5.22,68.78,87714.48,2602.0,46717.48,127.0,94.27
GORONTALO,2015,81.66,92.43,1.47,42.17,28493.42,1168.0,16787.18,218.0,109.86
SULAWESI BARAT,2015,91.47,92.86,7.26,52.02,32987.55,1331.0,38067.7,168.0,2.7
MALUKU,2015,81.51,88.72,1.86,60.72,34345.96,1745.0,46914.03,,617.38
MALUKU UTARA,2015,87.84,92.31,1.86,59.2,26638.3,1209.0,31982.5,,177.4
PAPUA BARAT,2015,74.57,92.33,5.2,67.11,62888.03,915.0,319036.05,,537.47
PAPUA,2015,81.69,96.34,30.56,56.18,150307.28,3265.0,99671.63,,1077.44
INDONESIA,2015,82.63,88.1,5.25,74.34,11526332.8,261891.0,1913578.68,,280615.09
ACEH,2017,80.42,86.4,2.02,70.67,145806.92,5243.4,57956.0,,421.51
SUMATERA UTARA,2017,67.53,88.08,1.96,83.81,684634.43,14476.0,72981.23,,20667.17
SUMATERA BARAT,2017,70.58,85.91,1.44,70.35,213893.47,5411.8,42012.89,,948.92
